username,plus_count, avg_quality_score, median_feedback_length, entries_read, entries_written, avg_subject_length, median_text_length
a1047910,0,2.0,99,69,4,8.75,280
a0747278,0,1.52173913043,198,22,1,12.0,80
a1009697,0,0,569,0,0,0,0
a1046996,0,2.5487804878,304,36,0,0,0
a0509857,0,1.95283018868,197,231,1,31.0,122
a1001880,0,1.0,610,114,0,0,0
a1048631,0,2.50602409639,375,96,0,0,0
a0927643,0,2.46666666667,437,86,0,0,0
a0906298,0,0,0,0,0,0,0
a1007797,0,2.47368421053,473,8,0,0,0
a0900656,0,1.94642857143,59,216,11,17.6363636364,51
a0728417,0,2.2,33,122,1,6.0,127
a1046455,0,1.0,725,86,0,0,0
a0848247,0,1.94285714286,516,0,0,0,0
a0902776,0,1.85,223,229,3,33.6666666667,623
a0547590,0,1.49056603774,159,71,0,0,0
a0405215,0,0,0,0,0,0,0
a1001026,0,1.81904761905,200,206,8,23.75,143
a0628166,0,2.05555555556,85,22,0,0,0
a1005071,0,1.72413793103,76,230,4,21.75,584
a0968376,0,0,0,0,0,0,0
a0925907,0,2.1724137931,239,0,0,0,0
a1009319,0,2.01149425287,334,57,0,0,0
a0848977,0,0,0,0,0,0,0
a0409867,0,0,0,0,0,0,0
a0969329,0,1.85,58,95,0,0,0
a0601848,0,0,324,75,0,0,0
a1008543,0,2.15384615385,264,11,0,0,0
a0805991,0,0,0,24,0,0,0
a0867884,0,2.20987654321,327,62,0,0,0
a0867886,0,2.13333333333,169,0,0,0,0
a0406273,0,1.58333333333,82,143,1,27.0,430
a1006236,0,2.19512195122,69,213,0,0,0
a0847908,0,0,0,0,0,0,0
a0442189,0,0,0,0,0,0,0
a8302652,0,1.84745762712,70,42,0,0,0
a1046662,0,1.0,103,69,0,0,0
a1026524,0,2.06818181818,158,231,8,15.0,108
a0968202,0,0,0,0,0,0,0
a0248319,0,1.75438596491,159,1,0,0,0
a0902602,0,1.22222222222,113,93,0,0,0
a1047596,0,0,0,0,0,0,0
a0947444,0,1.34210526316,144,79,0,0,0
a0908023,0,1.89655172414,198,231,2,10.5,161
a0325144,0,0,0,0,0,0,0
a1008470,0,2.1724137931,254,38,0,0,0
a0607870,0,1.5306122449,198,58,0,0,0
a0854644,0,1.5,87,27,0,0,0
a0508477,0,1.79464285714,198,46,2,37.0,288
a0902337,0,1.57627118644,184,71,0,0,0
a0925743,0,2.07692307692,198,14,0,0,0
a1008445,0,2.28571428571,159,122,0,0,0
a1005281,0,2.28571428571,0,192,1,18.0,300
a1005724,0,2.16666666667,252,125,5,30.0,456
a9402773,0,1.91228070175,78,196,0,0,0
a1000175,0,3.63157894737,128,22,0,0,0
a0925926,0,2.68253968254,208,59,0,0,0
a0901082,0,2.0641025641,317,0,0,0,0
a9708276,0,1.57142857143,871,29,0,0,0
a1000675,0,2.0,526,33,0,0,0
a0849311,0,1.80701754386,71,24,0,0,0
a0949077,0,1.92592592593,93,220,0,0,0
a0901879,0,1.90833333333,199,231,7,36.7142857143,857
a0904202,0,1.86440677966,198,0,2,15.0,374
a1004081,0,1.43181818182,198,25,0,0,0
a0405013,0,0,0,13,0,0,0
a1004337,0,0,0,75,0,0,0
a1048113,0,2.1686746988,185,64,0,0,0
a0909811,0,1.91666666667,0,231,0,0,0
a0727356,0,1.8,61,2,0,0,0
a0803615,0,2.0,159,170,0,0,0
a0927617,0,2.05263157895,236,27,1,8.0,241
a0906419,0,1.75,171,118,3,9.33333333333,132
a0647460,4,0,0,0,0,0,0
a0649474,0,0,0,0,0,0,0
a0865668,0,1.5,60,0,0,0,0
a0901633,0,2.05357142857,158,140,1,8.0,113
a0821669,0,1.75,198,231,0,0,0
a0425399,0,2.57575757576,457,10,0,0,0
a1005929,0,2.7,816,12,0,0,0
a1006112,0,2.04444444444,93,11,0,0,0
a0708004,0,2.17142857143,157,196,14,16.7857142857,490
a0906803,0,1.84482758621,23,128,1,8.0,168
a0709880,0,1.6568627451,198,71,0,0,0
a0821707,0,2.0,158,41,0,0,0
a0903622,0,2.31578947368,97,231,7,24.0,146
a0947423,0,1.62745098039,198,166,0,0,0
a0905002,0,2.2972972973,420,227,2,14.5,130
a1026386,0,1.94827586207,32,123,1,21.0,63
a1002949,0,2.13333333333,102,0,0,0,0
a0707445,0,2.24,520,60,0,0,0
a0807815,0,1.96341463415,298,153,1,25.0,144
a0925076,0,1.2,464,0,0,0,0
a0908358,0,1.94805194805,159,35,0,0,0
a0948400,0,0,0,10,0,0,0
a0411651,0,2.02272727273,83,12,1,12.0,343
a0405946,0,0,0,0,0,0,0
a0347064,0,0,0,19,0,0,0
a1047017,0,2.57647058824,287,30,0,0,0
a1046301,0,2.31764705882,242,40,0,0,0
a0848752,0,1.60416666667,87,80,0,0,0
a0348172,0,1.59036144578,200,97,0,0,0
a6750338,0,1.61538461538,310,11,0,0,0
a1048183,0,1.97959183673,470,216,0,0,0
a1048182,0,0,0,38,4,23.25,112
a0900767,0,0,0,26,0,0,0
a0848445,0,2.16923076923,158,108,0,0,0
a0738232,0,1.82258064516,159,52,1,46.0,106
a9901457,0,1.8,198,3,0,0,0
a0547157,0,1.78571428571,111,8,0,0,0
a0006731,0,0,470,30,0,0,0
a0908233,0,1.72222222222,77,133,4,36.25,338
a0908037,0,2.16279069767,66,226,0,0,0
a0548657,0,1.6,200,50,0,0,0
