service,course_id,kurs,semester,description,user_id,plus_date
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0453139,2008-10-28
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a9717226,2009-12-20
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a9717226,2008-10-23
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a9717226,2008-10-30
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427717,2009-12-20
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427717,2009-01-15
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427717,2008-12-11
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427717,2008-12-04
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427717,2008-12-04
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427717,2008-11-27
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427717,2008-11-20
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427717,2008-11-13
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0427717,2008-10-23
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0847929,2009-12-20
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0847929,2009-12-13
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0847929,2009-01-15
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0847929,2008-12-18
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0847929,2008-12-11
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0847929,2008-12-04
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0847929,2008-12-04
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0847929,2008-11-27
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0847929,2008-11-20
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0847929,2008-11-13
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0847929,2008-11-06
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0847929,2008-11-06
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0847929,2008-10-23
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0847929,2008-10-30
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0726319,2008-11-18
Abgabe,0,01,01,http://www.pri.univie.ac.at:80/courses/KURS01/se01: Arbeitsplatz,a0726319,2008-10-21
