service,course_id,user_id,task,subtask,author,comment_length
Abgabe,15,a0948571,1,1,someone003,609
Abgabe,15,a0948571,1,2,someone003,514
Abgabe,15,a0948571,2,2,someone003,498
Abgabe,15,a0948571,2,4,someone003,494
Abgabe,15,a0948571,3,9,someone003,571
Abgabe,15,a0948571,3,3,someone003,548
Abgabe,15,a0948571,3,4,someone003,566
Abgabe,15,a0948571,3,6,someone003,418
Abgabe,15,a0948571,4,1,someone003,455
Abgabe,15,a0808425,1,1,someone003,406
Abgabe,15,a0808425,1,6,someone003,588
Abgabe,15,a0808425,2,2,someone003,412
Abgabe,15,a0808425,2,7,someone003,406
Abgabe,15,a0808425,3,2,someone003,699
Abgabe,15,a0808425,4,3,someone003,412
Abgabe,15,a0808425,5,4,someone003,412
Abgabe,15,a0808425,6,3,someone003,406
Abgabe,15,a0808425,7,8,someone003,689
Abgabe,15,a0600482,1,1,someone003,412
Abgabe,15,a0600482,1,6,someone003,412
Abgabe,15,a0600482,1,3,someone003,425
Abgabe,15,a0600482,2,2,someone003,406
Abgabe,15,a0600482,2,13,someone003,578
Abgabe,15,a0600482,3,15,someone003,552
Abgabe,15,a0600482,3,1,someone003,406
Abgabe,15,a0600482,3,9,someone003,548
Abgabe,15,a0600482,4,2,someone003,612
Abgabe,15,a0600482,5,6,someone003,406
Abgabe,15,a0600482,6,14,someone003,406
Abgabe,15,a0600482,7,9,someone003,423
Abgabe,15,a0600482,8,4,someone003,504
Abgabe,15,a0600482,10,11,someone003,412
Abgabe,15,a0600482,11,11,someone003,406
Abgabe,15,a0906074,1,1,someone003,412
Abgabe,15,a0906074,1,2,someone003,598
Abgabe,15,a0906074,1,3,someone003,412
Abgabe,15,a0906074,1,6,someone003,412
Abgabe,15,a0906074,1,11,someone003,412
Abgabe,15,a0906074,2,2,someone003,538
Abgabe,15,a0906074,3,2,someone003,515
Abgabe,15,a0906074,4,3,someone003,529
Abgabe,15,a0906074,6,1,someone003,406
Abgabe,15,a0906074,7,7,someone003,1071
Abgabe,15,a0906074,9,1,someone003,406
Abgabe,15,a0906074,8,2,someone003,406
Abgabe,15,a0906074,10,5,someone003,589
Abgabe,15,a0906074,11,1,someone003,537
Abgabe,15,a0906074,12,1,someone003,502
Abgabe,15,a0903060,1,1,someone003,412
Abgabe,15,a0903060,1,5,someone003,406
Abgabe,15,a0903060,2,11,someone003,406
Abgabe,15,a0903060,2,12,someone003,406
Abgabe,15,a0903060,3,2,someone003,502
Abgabe,15,a0903060,3,4,someone003,568
Abgabe,15,a0903060,4,3,someone003,595
Abgabe,15,a0903060,5,4,someone003,764
Abgabe,15,a0903060,6,8,someone003,563
Abgabe,15,a0903060,7,10,someone003,406
Abgabe,15,a0903060,8,3,someone003,672
Abgabe,15,a0903060,9,6,someone003,561
Abgabe,15,a1001026,1,1,someone003,406
Abgabe,15,a1001026,1,6,someone003,412
Abgabe,15,a1001026,1,3,someone003,499
Abgabe,15,a1001026,1,2,someone003,460
Abgabe,15,a1001026,2,7,someone003,406
Abgabe,15,a1001026,3,2,someone003,690
