service,course_id,group_id,person_id,name,email,type
Abgabe,0,,a0002696,,,student
Abgabe,0,,a002,,,student
Abgabe,0,,a0026729,,,student
Abgabe,0,,a0026862,,,student
Abgabe,0,,a0053513,,,student
Abgabe,0,,a0109717,,,student
Abgabe,0,,a0109721,,,student
Abgabe,0,,a0127081,,,student
Abgabe,0,,a0127310,,,student
Abgabe,0,,a0147506,,,student
Abgabe,0,,a0152012,,,student
Abgabe,0,,a0153133,,,student
Abgabe,0,,a020,,,student
Abgabe,0,,a0205594,,,student
Abgabe,0,,a0226869,,,student
Abgabe,0,,a0227093,,,student
Abgabe,0,,a0227118,,,student
Abgabe,0,,a0247800,,,student
Abgabe,0,,a0301725,,,student
Abgabe,0,,a0302376,,,student
Abgabe,0,,a0303089,,,student
Abgabe,0,,a0307469,,,student
Abgabe,0,,a0309157,,,student
Abgabe,0,,a0325144,,,student
Abgabe,0,,a0325160,,,student
Abgabe,0,,a0327315,,,student
Abgabe,0,,a0327349,,,student
Abgabe,0,,a0351972,,,student
Abgabe,0,,a0360631,,,student
Abgabe,0,,a0405013,,,student
Abgabe,0,,a0409337,,,student
Abgabe,0,,a0409867,,,student
Abgabe,0,,a0416460,,,student
Abgabe,0,,a0425776,,,student
Abgabe,0,,a0427321,,,student
Abgabe,0,,a0427368,,,student
Abgabe,0,,a0427376,,,student
Abgabe,0,,a0427377,,,student
Abgabe,0,,a0427390,,,student
Abgabe,0,,a0427690,,,student
Abgabe,0,,a0427717,,,student
Abgabe,0,,a0447266,,,student
Abgabe,0,,a0453139,,,student
Abgabe,0,,a0453511,,,student
Abgabe,0,,a0501787,,,student
Abgabe,0,,a0502414,,,student
Abgabe,0,,a0504235,,,student
Abgabe,0,,a0504287,,,student
Abgabe,0,,a0505506,,,student
Abgabe,0,,a0508209,,,student
Abgabe,0,,a0508819,,,student
Abgabe,0,,a0509842,,,student
Abgabe,0,,a052,,,student
Abgabe,0,,a0525659,,,student
Abgabe,0,,a0527563,,,student
Abgabe,0,,a0527633,,,student
Abgabe,0,,a0542912,,,student
Abgabe,0,,a0547047,,,student
Abgabe,0,,a0547157,,,student
Abgabe,0,,a0547718,,,student
Abgabe,0,,a0548450,,,student
Abgabe,0,,a0548657,,,student
Abgabe,0,,a0548678,,,student
Abgabe,0,,a0551760,,,student
Abgabe,0,,a0551984,,,student
Abgabe,0,,a0552107,,,student
Abgabe,0,,a0553253,,,student
Abgabe,0,,a0553266,,,student
Abgabe,0,,a060,,,student
Abgabe,0,,a0601848,,,student
Abgabe,0,,a0602891,,,student
Abgabe,0,,a0603648,,,student
Abgabe,0,,a0604799,,,student
Abgabe,0,,a0605890,,,student
Abgabe,0,,a0607870,,,student
Abgabe,0,,a0609260,,,student
Abgabe,0,,a0609887,,,student
