service,course_id,group_id,person_id,topic_id
Code,1,1,a0127358,507
Code,1,1,a0140440,403
Code,1,1,a0207480,202
Code,1,1,a0208322,402
Code,1,1,a0300450,407
Code,1,1,a0301749,504
Code,1,1,a0302846,407
Code,1,1,a0306718,406
Code,1,1,a0348302,405
Code,1,1,a0348308,100
Code,1,1,a0349304,307
Code,1,1,a0411626,305
Code,1,1,a0411674,607
Code,1,1,a0448720,507
Code,1,1,a0500580,100
Code,1,1,a0504701,605
Code,1,1,a0506908,405
Code,1,1,a0525175,601
Code,1,1,a0547049,505
Code,1,1,a0547186,505
Code,1,1,a0548686,505
Code,1,1,a0548951,304
Code,1,1,a0600703,501
Code,1,1,a0601866,305
Code,1,1,a0602920,302
Code,1,1,a0603682,202
Code,1,1,a0605491,505
Code,1,1,a0606070,307
Code,1,1,a0606567,605
Code,1,1,a0608535,305
Code,1,1,a0609903,507
Code,1,1,a0626277,505
Code,1,1,a0627588,503
Code,1,1,a0628166,307
Code,1,1,a0642145,507
Code,1,1,a0647161,100
Code,1,1,a0648614,507
Code,1,1,a0648946,605
Code,1,1,a0660099,202
Code,1,1,a0701295,604
Code,1,1,a0701581,505
Code,1,1,a0703956,306
Code,1,1,a0707465,202
Code,1,1,a0707497,505
Code,1,1,a0707941,605
Code,1,1,a0708029,505
Code,1,1,a0708631,407
Code,1,1,a0725474,605
Code,1,1,a0727374,505
Code,1,1,a0727963,202
Code,1,1,a0728453,407
Code,1,1,a0752765,608
Code,1,1,a0800145,202
Code,1,1,a0800745,507
Code,1,1,a0800766,202
Code,1,1,a0803000,100
Code,1,1,a0803029,507
Code,1,1,a0804814,505
Code,1,1,a0805595,202
Code,1,1,a0806012,305
Code,1,1,a0806743,605
Code,1,1,a0807850,408
Code,1,1,a0808368,505
Code,1,1,a0808455,407
Code,1,1,a0808553,604
Code,1,1,a0821673,505
Code,1,1,a0821747,604
Code,1,1,a0825560,605
Code,1,1,a0826386,100
Code,1,1,a0840471,505
Code,1,1,a0848380,405
Code,1,1,a0848653,501
Code,1,1,a0849323,100
Code,1,1,a0867907,401
Code,1,1,a0867923,100
Code,1,1,a0867932,307
