service,course_id,topic_id,topic
Code,5,,Thema %02d: %s
Code,5,,Thema %02d: %s
Code,5,,Thema %02d: %s
Code,1,,Thema %02d: %s
Code,1,,Thema %02d: %s
Code,1,,Thema %02d: %s
Code,5,000,Binärer Suchbaum (Demo-Beispiel)
Code,5,100,B+-Baum (60 Punkte)
Code,5,202,Heap mit Heapsort (30 Punkte)
Code,5,301,Double Hashing mit Bucket Sort (30+10 Punkte)
Code,5,302,Double Hashing mit Heapsort (30+5 Punkte)
Code,5,303,Double Hashing mit Insertionsort (30+5 Punkte)
Code,5,304,Double Hashing mit Mergesort (30+5 Punkte)
Code,5,305,Double Hashing mit Quicksort (30+5 Punkte)
Code,5,306,Double Hashing mit Radixsort (30+5 Punkte)
Code,5,307,Double Hashing mit Selectionsort (30+5 Punkte)
Code,5,308,Double Hashing mit Shellsort (30+5 Punkte)
Code,5,401,Separate Chaining mit Bucket Sort (30+10 Punkte)
Code,5,402,Separate Chaining mit Heapsort (30+5 Punkte)
Code,5,403,Separate Chaining mit Insertionsort (30+5 Punkte)
Code,5,404,Separate Chaining mit Mergesort (30+5 Punkte)
Code,5,405,Separate Chaining mit Quicksort (30+5 Punkte)
Code,5,406,Separate Chaining mit Radixsort (30+5 Punkte)
Code,5,407,Separate Chaining mit Selectionsort (30+5 Punkte)
Code,5,408,Separate Chaining mit Shellsort (30+5 Punkte)
Code,5,501,Extendible Hashing mit Bucket Sort (45+10 Punkte)
Code,5,502,Extendible Hashing mit Heapsort (45+5 Punkte)
Code,5,503,Extendible Hashing mit Insertionsort (45+5 Punkte)
Code,5,504,Extendible Hashing mit Mergesort (45+5 Punkte)
Code,5,505,Extendible Hashing mit Quicksort (45+5 Punkte)
Code,5,506,Extendible Hashing mit Radixsort (45+5 Punkte)
Code,5,507,Extendible Hashing mit Selectionsort (45+5 Punkte)
Code,5,508,Extendible Hashing mit Shellsort (45+5 Punkte)
Code,5,601,Linear Hashing mit Bucket Sort (45+10 Punkte)
Code,5,602,Linear Hashing mit Heapsort (45+5 Punkte)
Code,5,603,Linear Hashing mit Insertionsort (45+5 Punkte)
Code,5,604,Linear Hashing mit Mergesort (45+5 Punkte)
Code,5,605,Linear Hashing mit Quicksort (45+5 Punkte)
Code,5,606,Linear Hashing mit Radixsort (45+5 Punkte)
Code,5,607,Linear Hashing mit Selectionsort (45+5 Punkte)
Code,5,608,Linear Hashing mit Shellsort (45+5 Punkte)
Code,5,000,Binärer Suchbaum (Demo-Beispiel)
Code,5,100,B+-Baum (60 Punkte)
Code,5,202,Heap mit Heapsort (30 Punkte)
Code,5,301,Double Hashing mit Bucket Sort (30+10 Punkte)
Code,5,302,Double Hashing mit Heapsort (30+5 Punkte)
Code,5,303,Double Hashing mit Insertionsort (30+5 Punkte)
Code,5,304,Double Hashing mit Mergesort (30+5 Punkte)
Code,5,305,Double Hashing mit Quicksort (30+5 Punkte)
Code,5,306,Double Hashing mit Radixsort (30+5 Punkte)
Code,5,307,Double Hashing mit Selectionsort (30+5 Punkte)
Code,5,308,Double Hashing mit Shellsort (30+5 Punkte)
Code,5,401,Separate Chaining mit Bucket Sort (30+10 Punkte)
Code,5,402,Separate Chaining mit Heapsort (30+5 Punkte)
Code,5,403,Separate Chaining mit Insertionsort (30+5 Punkte)
Code,5,404,Separate Chaining mit Mergesort (30+5 Punkte)
Code,5,405,Separate Chaining mit Quicksort (30+5 Punkte)
Code,5,406,Separate Chaining mit Radixsort (30+5 Punkte)
Code,5,407,Separate Chaining mit Selectionsort (30+5 Punkte)
Code,5,408,Separate Chaining mit Shellsort (30+5 Punkte)
Code,5,501,Extendible Hashing mit Bucket Sort (45+10 Punkte)
Code,5,502,Extendible Hashing mit Heapsort (45+5 Punkte)
Code,5,503,Extendible Hashing mit Insertionsort (45+5 Punkte)
Code,5,504,Extendible Hashing mit Mergesort (45+5 Punkte)
Code,5,505,Extendible Hashing mit Quicksort (45+5 Punkte)
Code,5,506,Extendible Hashing mit Radixsort (45+5 Punkte)
Code,5,507,Extendible Hashing mit Selectionsort (45+5 Punkte)
Code,5,508,Extendible Hashing mit Shellsort (45+5 Punkte)
Code,5,601,Linear Hashing mit Bucket Sort (45+10 Punkte)
Code,5,602,Linear Hashing mit Heapsort (45+5 Punkte)
Code,5,603,Linear Hashing mit Insertionsort (45+5 Punkte)
Code,5,604,Linear Hashing mit Mergesort (45+5 Punkte)
Code,5,605,Linear Hashing mit Quicksort (45+5 Punkte)
Code,5,606,Linear Hashing mit Radixsort (45+5 Punkte)
Code,5,607,Linear Hashing mit Selectionsort (45+5 Punkte)
Code,5,608,Linear Hashing mit Shellsort (45+5 Punkte)
Code,3,,Thema %02d: %s
Code,3,,Thema %02d: %s
Code,3,,Thema %02d: %s
Code,1,000,Binärer Suchbaum (Demo-Beispiel)
Code,1,100,B+-Baum (60 Punkte)
Code,1,202,Heap mit Heapsort (30 Punkte)
Code,1,301,Double Hashing mit Bucket Sort (30+10 Punkte)
Code,1,302,Double Hashing mit Heapsort (30+5 Punkte)
Code,1,303,Double Hashing mit Insertionsort (30+5 Punkte)
Code,1,304,Double Hashing mit Mergesort (30+5 Punkte)
Code,1,305,Double Hashing mit Quicksort (30+5 Punkte)
Code,1,306,Double Hashing mit Radixsort (30+5 Punkte)
Code,1,307,Double Hashing mit Selectionsort (30+5 Punkte)
Code,1,308,Double Hashing mit Shellsort (30+5 Punkte)
Code,1,401,Separate Chaining mit Bucket Sort (30+10 Punkte)
Code,1,402,Separate Chaining mit Heapsort (30+5 Punkte)
Code,1,403,Separate Chaining mit Insertionsort (30+5 Punkte)
Code,1,404,Separate Chaining mit Mergesort (30+5 Punkte)
Code,1,405,Separate Chaining mit Quicksort (30+5 Punkte)
Code,1,406,Separate Chaining mit Radixsort (30+5 Punkte)
Code,1,407,Separate Chaining mit Selectionsort (30+5 Punkte)
Code,1,408,Separate Chaining mit Shellsort (30+5 Punkte)
Code,1,501,Extendible Hashing mit Bucket Sort (45+10 Punkte)
Code,1,502,Extendible Hashing mit Heapsort (45+5 Punkte)
Code,1,503,Extendible Hashing mit Insertionsort (45+5 Punkte)
Code,1,504,Extendible Hashing mit Mergesort (45+5 Punkte)
Code,1,505,Extendible Hashing mit Quicksort (45+5 Punkte)
Code,1,506,Extendible Hashing mit Radixsort (45+5 Punkte)
Code,1,507,Extendible Hashing mit Selectionsort (45+5 Punkte)
Code,1,508,Extendible Hashing mit Shellsort (45+5 Punkte)
Code,1,601,Linear Hashing mit Bucket Sort (45+10 Punkte)
Code,1,602,Linear Hashing mit Heapsort (45+5 Punkte)
Code,1,603,Linear Hashing mit Insertionsort (45+5 Punkte)
Code,1,604,Linear Hashing mit Mergesort (45+5 Punkte)
Code,1,605,Linear Hashing mit Quicksort (45+5 Punkte)
Code,1,606,Linear Hashing mit Radixsort (45+5 Punkte)
Code,1,607,Linear Hashing mit Selectionsort (45+5 Punkte)
Code,1,608,Linear Hashing mit Shellsort (45+5 Punkte)
Code,1,000,Binärer Suchbaum (Demo-Beispiel)
Code,1,100,B+-Baum (60 Punkte)
Code,1,202,Heap mit Heapsort (30 Punkte)
Code,1,301,Double Hashing mit Bucket Sort (30+10 Punkte)
Code,1,302,Double Hashing mit Heapsort (30+5 Punkte)
Code,1,303,Double Hashing mit Insertionsort (30+5 Punkte)
Code,1,304,Double Hashing mit Mergesort (30+5 Punkte)
Code,1,305,Double Hashing mit Quicksort (30+5 Punkte)
Code,1,306,Double Hashing mit Radixsort (30+5 Punkte)
Code,1,307,Double Hashing mit Selectionsort (30+5 Punkte)
Code,1,308,Double Hashing mit Shellsort (30+5 Punkte)
Code,1,401,Separate Chaining mit Bucket Sort (30+10 Punkte)
Code,1,402,Separate Chaining mit Heapsort (30+5 Punkte)
Code,1,403,Separate Chaining mit Insertionsort (30+5 Punkte)
Code,1,404,Separate Chaining mit Mergesort (30+5 Punkte)
Code,1,405,Separate Chaining mit Quicksort (30+5 Punkte)
Code,1,406,Separate Chaining mit Radixsort (30+5 Punkte)
Code,1,407,Separate Chaining mit Selectionsort (30+5 Punkte)
Code,1,408,Separate Chaining mit Shellsort (30+5 Punkte)
Code,1,501,Extendible Hashing mit Bucket Sort (45+10 Punkte)
Code,1,502,Extendible Hashing mit Heapsort (45+5 Punkte)
Code,1,503,Extendible Hashing mit Insertionsort (45+5 Punkte)
Code,1,504,Extendible Hashing mit Mergesort (45+5 Punkte)
