service,course_id,user,nid,id,subject_length,text_length
Forum,99,a0501987,25,1,16,95
Forum,99,a0903622,25,2,16,155
Forum,99,voonly,25,5,16,145
Forum,99,a0600689,25,6,16,80
Forum,99,a0600689,25,7,16,217
Forum,99,a0825528,25,9,16,0
Forum,99,a0500549,25,10,16,185
Forum,99,a0903622,25,3,19,215
Forum,99,person002,25,4,19,79
Forum,99,person002,25,8,30,153
Forum,99,a0647160,25,11,11,182
Forum,99,a0949607,25,12,10,84
Forum,99,person002,25,13,10,85
Forum,99,a0647160,25,14,10,53
Forum,99,person002,25,15,10,102
Forum,99,a0648931,25,16,9,124
Forum,99,person005,25,17,9,0
Forum,99,a0301725,25,18,20,252
Forum,99,person002,25,19,20,16
Forum,99,person005,25,20,20,0
Forum,99,a0647160,25,21,20,48
Forum,99,person005,25,22,20,68
Forum,99,a0647160,25,23,20,184
Forum,99,person005,25,24,20,31
Forum,99,person002,25,25,20,182
Forum,99,a0808547,20,1,7,307
Forum,99,person005,20,2,7,129
Forum,99,a0301725,20,3,16,74
Forum,99,person002,20,4,16,170
Forum,99,a0906419,20,5,15,206
Forum,99,person002,20,6,15,106
Forum,99,a0906419,20,7,0,0
Forum,99,person002,20,8,0,117
Forum,99,a0948571,20,9,22,174
Forum,99,person002,20,10,22,328
Forum,99,a9913255,20,11,39,336
Forum,99,a0647160,20,12,39,207
Forum,99,a0909510,20,13,21,400
Forum,99,person002,20,14,21,262
Forum,99,a0909510,20,15,21,42
Forum,99,a0906419,20,16,14,256
Forum,99,person005,20,17,14,338
Forum,99,a0906419,20,18,14,411
Forum,99,voonly,20,19,28,136
Forum,99,a0808547,20,20,28,263
Forum,99,a0548944,656,1,6,79
Forum,99,a0647160,656,2,6,131
Forum,99,person002,656,3,6,138
Forum,99,person002,656,4,6,130
Forum,99,a0949607,656,5,20,407
Forum,99,a0902776,656,6,20,299
Forum,99,a0949607,656,7,20,280
Forum,99,a8708935,656,8,20,534
Forum,99,person002,656,11,20,420
Forum,99,a0647160,656,9,7,378
Forum,99,person002,656,10,7,596
Forum,99,a0902776,656,12,14,265
Forum,99,person002,656,13,14,445
Forum,99,a9913255,656,14,27,487
Forum,99,person002,656,15,27,933
Forum,99,a9826273,656,16,21,152
Forum,99,person002,656,17,21,128
Forum,99,a0902776,656,18,19,878
Forum,99,person005,656,19,19,276
Forum,99,a0902776,656,23,19,410
Forum,99,person002,656,24,19,494
Forum,99,a0902776,656,25,19,59
Forum,99,a0707489,656,20,23,401
Forum,99,a0707489,656,21,23,0
Forum,99,person005,656,22,23,271
Forum,99,a0707489,656,26,23,51
Forum,99,a0902776,656,27,30,416
Forum,99,person005,656,28,30,497
Forum,99,a0902776,656,29,30,274
Forum,99,person002,656,30,30,263
Forum,99,a0902776,656,38,30,336
Forum,99,person005,656,39,30,520
Forum,99,person002,656,40,30,496
Forum,99,a0500549,656,31,23,797
Forum,99,a0903622,656,32,23,344
Forum,99,person005,656,33,23,0
Forum,99,a0647160,656,36,23,1132
Forum,99,a0500549,656,37,23,441
Forum,99,person005,656,41,23,2201
Forum,99,a0647160,656,42,23,459
Forum,99,person005,656,43,23,141
Forum,99,a9826273,656,44,23,515
Forum,99,person002,656,48,23,228
